Gene_ID	Module
PFDN1	Prefoldin Complex
PFDN2	Prefoldin Complex
VBP1	Prefoldin Complex
PFDN4	Prefoldin Complex
PFDN5	Prefoldin Complex
PFDN6	Prefoldin Complex
PDRG1	Prefoldin Complex
URI1	PFDL module
UXT	PFDL module
PDRG1	PFDL module
PFDN2	PFDL module
PFDN6	PFDL module
RUVBL1	PFDL module
RUVBL2	PFDL module
PIH1D1	PFDL module
RPAP3	PFDL module
POLR2E	PFDL module
WDR92	PFDL module
ASDURF	PFDL module
RUVBL1	R2TP core
RUVBL2	R2TP core
PIH1D1	R2TP core
RPAP3	R2TP core
POLR2E	R2TP core connector
WDR92	R2TP core connector
HSP90AB4P	Chaperones HSP90
HSP90AB2P	Chaperones HSP90
HSP90AA1	Chaperones HSP90
HSP90AB1	Chaperones HSP90
NUFIP1	R2TP Adaptors
NUFIP2	R2TP Adaptors
ZNHIT6	R2TP Adaptors
ZNHIT2	R2TP Adaptors
ECD	R2TP Adaptors
CCT2	CCT
CCT3	CCT
CCT4	CCT
CCT5	CCT
CCT6A	CCT
CCT6B	CCT
CCT7	CCT
CCT8	CCT
TELO2	R2TP Adaptors
TTI1	R2TP Adaptors
TTI2	R2TP Adaptors
PP2CA	URI1 interactor
TRIM28	URI1 interactor
ELF1A	URI1 interactor
PPP1CA	URI1 interactor
OGT	URI1 interactor
PPP1CC	URI1 interactor
URI1	URI1 interactor
MDM4	UXT interactor
UXT	UXT interactor
TUBB	Tubulin
TUBB2A	Tubulin
TUBB2B	Tubulin
TUBB3	Tubulin
TUBB4B	Tubulin
TUBB8	Tubulin
FBL	Box CD snoRNP Assembly
NOP56	Box CD snoRNP Assembly
NOP58	Box CD snoRNP Assembly
SNU13	Box CD snoRNP Assembly
NHP2	Box H_ACA snoRNP Assembly
DKC1	Box H_ACA snoRNP Assembly
GAR1	Box H_ACA snoRNP Assembly
NOP10	Box H_ACA snoRNP Assembly
SHQ1	Box H_ACA snoRNP Assembly
NAF1	Box H_ACA snoRNP Assembly
NHP2	Telomerase Assembly
DKC1	Telomerase Assembly
GAR1	Telomerase Assembly
NOP10	Telomerase Assembly
TERT	Telomerase Assembly
TERC	Telomerase Assembly
NUFIP1	Telomerase Assembly
SECISBP2	SECIS mRNP Assembly
NUFIP1	SECIS mRNP Assembly
EEFSEC	SECIS mRNP Assembly
SNRPB	SECIS mRNP Assembly
SNRPD1	SECIS mRNP Assembly
SNRPD2	SECIS mRNP Assembly
SNRPD3	SECIS mRNP Assembly
SNRPE	SECIS mRNP Assembly
SNRPF	SECIS mRNP Assembly
SNRPG	SECIS mRNP Assembly
SMN1	SECIS mRNP Assembly
SNU13	U4 snRNP Assembly
PRPF31	U4 snRNP Assembly
ZNHIT3	U4 snRNP Assembly
AAR2	U4 snRNP Assembly
EFTUD2	U4 snRNP Assembly
PRPF8	U4 snRNP Assembly
SNRNP200	U4 snRNP Assembly
ZNHIT2	U4 snRNP Assembly
POLR1A	RNA polyermase II complex
POLR1C	RNA polyermase II complex
POLR2A	RNA polyermase II complex
POLR2B	RNA polyermase II complex
POLR2C	RNA polyermase II complex
POLR2E	RNA polyermase II complex
POLR2G	RNA polyermase II complex
POLR2H	RNA polyermase II complex
POLR3A	RNA polyermase II complex
POLR3B	RNA polyermase II complex
POLR3D	RNA polyermase II complex
POLR3E	RNA polyermase II complex
POLR2A	PAQosome mediated assembly of RNAP II
POLR2B	PAQosome mediated assembly of RNAP II
UXT	PAQosome mediated assembly of RNAP II
RPAP3	PAQosome mediated assembly of RNAP II
TELO2	PAQosome-Mediated Assembly of PIKK Complexes
TTI1	PAQosome-Mediated Assembly of PIKK Complexes
TTI2	PAQosome-Mediated Assembly of PIKK Complexes
WAC	PAQosome-Mediated Assembly of PIKK Complexes
TRIM28	PAQosome-Mediated Assembly of PIKK Complexes
RNF20	PAQosome-Mediated Assembly of PIKK Complexes
RNF40?	PAQosome-Mediated Assembly of PIKK Complexes
FBXO9	PAQosome-Mediated Assembly of PIKK Complexes
SKP1	PAQosome-Mediated Assembly of PIKK Complexes
CUL1	PAQosome-Mediated Assembly of PIKK Complexes
MTOR	PAQosome-Mediated Assembly of PIKK Complexes
CSNK2A1	PAQosome-Mediated Assembly of PIKK Complexes
CSNK2A2	PAQosome-Mediated Assembly of PIKK Complexes
CSNK2B	PAQosome-Mediated Assembly of PIKK Complexes
PIH1D1	PAQosome-Mediated Assembly of PIKK Complexes
MRE11	MRN-complex
RAD50	MRN-complex
NBS1	MRN-complex
NBN	MRN-complex
PIH1D1	MRN-complex
TSC1	TSC-complex
TSC2 	TSC-complex
TBC1D7	TSC-complex
WDR92	URI1 module
UXT	URI1 module
POLR2E	URI1 module
PDRG1	URI1 module
PFDN2	URI1 module
PFDN6	URI1 module
