IDX	Identifier	Community
0	ACAT1	0
1	AHCY	0
2	ALB	1
3	ALDOA	0
4	ARG1	0
5	ASDURF	3
6	ATP2A2	0
7	ATP5MG	0
8	BCKDHB	0
9	BLMH	0
10	BRIX1	12
11	CALU	0
12	CBR1	0
13	CLIC4	0
14	CPSF6	11
15	DCD	15
16	DDOST	0
17	DDX18	17
18	DDX39B	0
19	DDX6	0
20	EEF1B2	0
21	EIF4G1	0
22	ENO1	15
23	FLG2	7
24	FTH1	0
25	GANAB	0
26	GAPDH	0
27	GDI2	0
28	GPS1	0
29	GYS1	17
30	H4C1	0
31	HNRNPA0	0
32	HSD17B10	0
33	HSPA6	0
34	HSPA8	0
35	IGF2BP1	0
36	IQGAP1	0
37	KPRP	17
38	KRT10	8
39	KRT13	0
40	KRT14	14
41	KRT16	14
42	KRT17	7
43	KRT2	1
44	KRT34	0
45	KRT6B	14
46	LGALS7	0
47	MDH2	0
48	NSUN2	16
49	NUP155	0
50	NUP93	0
51	PARP1	13
52	PCMT1	0
53	PDHX	0
54	PDIA3	0
55	PDRG1	3
56	PDXK	0
57	PFDN2	10
58	PFDN6	10
59	PIP	15
60	PKM	0
61	PMPCB	0
62	POLR2E	4
63	PPIA	9
64	PPIB	0
65	PPP2R2A	0
66	PRDX1	0
67	PRDX3	16
68	PRSS3P2	6
69	RPL11	0
70	RPL12	0
71	RPL14	17
72	RPL15	17
73	RPL27	0
74	RPL3	0
75	RPL30	17
76	RPL31	0
77	RPL35A	12
78	RPL36	17
79	RPL7A	12
80	RPL8	9
81	RPLP0	0
82	RPS23	9
83	RPS7	0
84	RSL1D1	17
85	RUVBL1	0
86	SAP18	9
87	SDHB	0
88	SET	0
89	SFPQ	11
90	SLC25A5	0
91	SLC3A2	0
92	SMC3	9
93	SNRPC	0
94	SNRPE	11
95	SRSF1	0
96	SRSF10	17
97	SRSF6	0
98	SRSF9	15
99	SSBP1	0
100	TMED10	0
101	TRA2B	0
102	UBA2	19
103	VIM	0
