protA	protB	qvalues
ACAA2	ACAA2	0.0
ACADM	ACAA2	0.0
ACAT1	ACAA2	0.0
ACIN1	ACAA2	0.0
ACLY	ACAA2	0.0
ACTL6A	ACAA2	0.0
ACTR1A	ACAA2	0.0
ADSS2	ACAA2	0.0
AHCY	ACAA2	0.0
AIFM1	ACAA2	0.0
AIMP1	ACAA2	0.0
AIMP2	ACAA2	0.0
ALB	ACAA2	0.0
ALDH18A1	ACAA2	0.0
ALDH1A2	ACAA2	0.0
ALDH1B1	ACAA2	0.0
ALDH2	ACAA2	0.0
ALDOA	ACAA2	0.0
ALYREF	ACAA2	0.0
ARCN1	ACAA2	0.0
ASDURF	ACAA2	0.0
ATIC	ACAA2	0.0
ATP1A1	ACAA2	0.0
ATP1B3	ACAA2	0.0
ATP2A2	ACAA2	0.0
ATP5F1A	ACAA2	0.0
ATP5F1B	ACAA2	0.0
ATP5F1C	ACAA2	0.0
ATP5MF	ACAA2	0.0
ATP5MG	ACAA2	0.0
ATP5PB	ACAA2	0.0
ATP5PD	ACAA2	0.0
ATP5PO	ACAA2	0.0
ATXN2L	ACAA2	0.0
BAG6	ACAA2	0.0
BASP1	ACAA2	0.0
BCAP31	ACAA2	0.0
BSG	ACAA2	0.0
CAD	ACAA2	0.0
CAND1	ACAA2	0.0
CANX	ACAA2	0.0
CAP1	ACAA2	0.0
CAPRIN1	ACAA2	0.0
CCAR1	ACAA2	0.0
CCAR2	ACAA2	0.0
CCT2	ACAA2	0.0
CCT8	ACAA2	0.0
CDK1	ACAA2	0.0
CHD4	ACAA2	0.0
CHERP	ACAA2	0.0
CKAP4	ACAA2	0.0
CLTA	ACAA2	0.0
CLTB	ACAA2	0.0
CLTC	ACAA2	0.0
CNDP2	ACAA2	0.0
CNOT1	ACAA2	0.0
COG1	ACAA2	0.0
COPA	ACAA2	0.0
COPB1	ACAA2	0.0
COPB2	ACAA2	0.0
COPG1	ACAA2	0.0
COPS4	ACAA2	0.0
CORO1C	ACAA2	0.0
CPOX	ACAA2	0.0
CPSF6	ACAA2	0.0
CS	ACAA2	0.0
CSE1L	ACAA2	0.0
CYFIP1	ACAA2	0.0
DAP3	ACAA2	0.0
DARS	ACAA2	0.0
DBT	ACAA2	0.0
DCTN1	ACAA2	0.0
DCTN2	ACAA2	0.0
DDOST	ACAA2	0.0
DDX17	ACAA2	0.0
DDX21	ACAA2	0.0
DDX39B	ACAA2	0.0
DDX46	ACAA2	0.0
DDX5	ACAA2	0.0
DDX6	ACAA2	0.0
DHX15	ACAA2	0.0
DHX9	ACAA2	0.0
DIAPH1	ACAA2	0.0
DLD	ACAA2	0.0
DLST	ACAA2	0.0
DNAJB11	ACAA2	0.0
DPCD	ACAA2	0.0
DPM1	ACAA2	0.0
DPYSL2	ACAA2	0.0
DSG1	ACAA2	0.0
DYNC1H1	ACAA2	0.0
DYNC1I2	ACAA2	0.0
DYNC1LI1	ACAA2	0.0
DYNC1LI2	ACAA2	0.0
ECH1	ACAA2	0.0
ECHS1	ACAA2	0.0
ECI1	ACAA2	0.0
EEA1	ACAA2	0.0
EEF1D	ACAA2	0.0
EEF1E1	ACAA2	0.0
EEF1G	ACAA2	0.0
EEF2	ACAA2	0.0
EFTUD2	ACAA2	0.0
EIF3B	ACAA2	0.0
EIF3D	ACAA2	0.0
EIF3I	ACAA2	0.0
EIF3L	ACAA2	0.0
EIF4A1	ACAA2	0.0
EIF4A3	ACAA2	0.0
EIF4G1	ACAA2	0.0
EIF5A	ACAA2	0.0
ELAVL1	ACAA2	0.0
ENO1	ACAA2	0.0
ENO2	ACAA2	0.0
EPPK1	ACAA2	0.0
EPRS	ACAA2	0.0
FBL	ACAA2	0.0
FDPS	ACAA2	0.0
FH	ACAA2	0.0
FKBP10	ACAA2	0.0
FKBP4	ACAA2	0.0
FLNA	ACAA2	0.0
FLNB	ACAA2	0.0
FUBP1	ACAA2	0.0
GADD45GIP1	ACAA2	0.0
GANAB	ACAA2	0.0
GAPDH	ACAA2	0.0
GCN1	ACAA2	0.0
GDI2	ACAA2	0.0
GEMIN4	ACAA2	0.0
GOLIM4	ACAA2	0.0
GPS1	ACAA2	0.0
GRPEL1	ACAA2	0.0
GSTO1	ACAA2	0.0
H4C1	ACAA2	0.0
HACD3	ACAA2	0.0
HADHA	ACAA2	0.0
HADHB	ACAA2	0.0
HAGH	ACAA2	0.0
HAT1	ACAA2	0.0
HDAC2	ACAA2	0.0
HDAC6	ACAA2	0.0
HM13	ACAA2	0.0
HNRNPA0	ACAA2	0.0
HNRNPA1	ACAA2	0.0
HNRNPA2B1	ACAA2	0.0
HNRNPA3	ACAA2	0.0
HNRNPAB	ACAA2	0.0
HNRNPC	ACAA2	0.0
HNRNPD	ACAA2	0.0
HNRNPDL	ACAA2	0.0
HNRNPF	ACAA2	0.0
HNRNPH1	ACAA2	0.0
HNRNPH3	ACAA2	0.0
HNRNPK	ACAA2	0.0
HNRNPL	ACAA2	0.0
HNRNPM	ACAA2	0.0
HNRNPR	ACAA2	0.0
HNRNPU	ACAA2	0.0
HNRNPUL2	ACAA2	0.0
HPRT1	ACAA2	0.0
HSD17B12	ACAA2	0.0
HSP90AA1	ACAA2	0.0
HSP90AB1	ACAA2	0.0
HSPA4L	ACAA2	0.0
HSPA5	ACAA2	0.0
HSPA6	ACAA2	0.0
HSPA8	ACAA2	0.0
HSPA9	ACAA2	0.0
HSPD1	ACAA2	0.0
HSPE1	ACAA2	0.0
HSPH1	ACAA2	0.0
HUWE1	ACAA2	0.0
HYOU1	ACAA2	0.0
IARS	ACAA2	0.0
ILF2	ACAA2	0.0
ILF3	ACAA2	0.0
IMMT	ACAA2	0.0
IMPDH1	ACAA2	0.0
IMPDH2	ACAA2	0.0
IPO5	ACAA2	0.0
IQGAP1	ACAA2	0.0
IRS4	ACAA2	0.0
ISYNA1	ACAA2	0.0
ITGB1	ACAA2	0.0
ITPR3	ACAA2	0.0
KARS1	ACAA2	0.0
KCTD12	ACAA2	0.0
KHSRP	ACAA2	0.0
KIF5B	ACAA2	0.0
KPNB1	ACAA2	0.0
KRT1	ACAA2	0.0
KRT2	ACAA2	0.0
KRT6C	ACAA2	0.0
KRT8	ACAA2	0.0
KRT9	ACAA2	0.0
KTN1	ACAA2	0.0
LAMP2	ACAA2	0.0
LANCL1	ACAA2	0.0
LARS	ACAA2	0.0
LBR	ACAA2	0.0
LDHA	ACAA2	0.0
LDHB	ACAA2	0.0
LGALS3BP	ACAA2	0.0
LONP1	ACAA2	0.0
LRPPRC	ACAA2	0.0
LSM12	ACAA2	0.0
LUC7L2	ACAA2	0.0
MACF1	ACAA2	0.0
MAP1B	ACAA2	0.0
MARCKSL1	ACAA2	0.0
MARS	ACAA2	0.0
MAT2A	ACAA2	0.0
MATR3	ACAA2	0.0
MCM4	ACAA2	0.0
MCM5	ACAA2	0.0
MCM6	ACAA2	0.0
MCM7	ACAA2	0.0
MDH1	ACAA2	0.0
MDH2	ACAA2	0.0
ME2	ACAA2	0.0
MLEC	ACAA2	0.0
MRE11	ACAA2	0.0
MRPL1	ACAA2	0.0
MRPL11	ACAA2	0.0
MRPL12	ACAA2	0.0
MRPL13	ACAA2	0.0
MRPL15	ACAA2	0.0
MRPL17	ACAA2	0.0
MRPL19	ACAA2	0.0
MRPL2	ACAA2	0.0
MRPL20	ACAA2	0.0
MRPL21	ACAA2	0.0
MRPL22	ACAA2	0.0
MRPL23	ACAA2	0.0
MRPL24	ACAA2	0.0
MRPL28	ACAA2	0.0
MRPL3	ACAA2	0.0
MRPL34	ACAA2	0.0
MRPL37	ACAA2	0.0
MRPL38	ACAA2	0.0
MRPL39	ACAA2	0.0
MRPL4	ACAA2	0.0
MRPL40	ACAA2	0.0
MRPL41	ACAA2	0.0
MRPL43	ACAA2	0.0
MRPL44	ACAA2	0.0
MRPL45	ACAA2	0.0
MRPL46	ACAA2	0.0
MRPL47	ACAA2	0.0
MRPL48	ACAA2	0.0
MRPL49	ACAA2	0.0
MRPL50	ACAA2	0.0
