protA	protB	WD
AARS	AARS	0.0
ACAA2	AARS	0.0
ACADM	AARS	0.0
ACAT1	AARS	0.0
ACIN1	AARS	0.0
ACLY	AARS	0.0
ACTL6A	AARS	0.0
ACTN1	AARS	0.0
ACTR1A	AARS	0.0
ADAR	AARS	0.0
ADSS2	AARS	0.0
AHCY	AARS	0.0
AIFM1	AARS	0.0
AIMP1	AARS	0.0
AIMP2	AARS	0.0
AKR7A2	AARS	0.0
ALB	AARS	0.0
ALDH18A1	AARS	0.0
ALDH1A2	AARS	0.0
ALDH1B1	AARS	0.0
ALDH2	AARS	0.0
ALDH9A1	AARS	0.0
ALDOA	AARS	0.0
ALYREF	AARS	0.0
APEH	AARS	0.0
ARCN1	AARS	0.0
ARG1	AARS	0.0
ASDURF	AARS	0.0
ASNS	AARS	0.0
ATAD3A	AARS	0.0
ATIC	AARS	0.0
ATP1A1	AARS	0.0
ATP1B3	AARS	0.0
ATP2A2	AARS	0.0
ATP5F1A	AARS	0.0
ATP5F1B	AARS	0.0
ATP5F1C	AARS	0.0
ATP5MF	AARS	0.0
ATP5MG	AARS	0.0
ATP5PB	AARS	0.0
ATP5PD	AARS	0.0
ATP5PO	AARS	0.0
ATXN2L	AARS	0.0
BAG6	AARS	0.0
BASP1	AARS	0.0
BCAP31	AARS	0.0
BCKDHB	AARS	0.0
BCKDK	AARS	0.0
BLMH	AARS	0.0
BRIX1	AARS	0.0
BSG	AARS	0.0
CAD	AARS	0.0
CALU	AARS	0.0
CAND1	AARS	0.0
CANX	AARS	0.0
CAP1	AARS	0.0
CAPRIN1	AARS	0.0
CBR1	AARS	0.0
CCAR1	AARS	0.0
CCAR2	AARS	0.0
CCT2	AARS	0.0
CCT3	AARS	0.0
CCT4	AARS	0.0
CCT5	AARS	0.0
CCT6A	AARS	0.0
CCT7	AARS	0.0
CCT8	AARS	0.0
CDK1	AARS	0.0
CHD4	AARS	0.0
CHERP	AARS	0.0
CKAP4	AARS	0.0
CLIC4	AARS	0.0
CLTA	AARS	0.0
CLTB	AARS	0.0
CLTC	AARS	0.0
CNDP2	AARS	0.0
CNOT1	AARS	0.0
COG1	AARS	0.0
COPA	AARS	0.0
COPB1	AARS	0.0
COPB2	AARS	0.0
COPG1	AARS	0.0
COPS4	AARS	0.0
CORO1C	AARS	0.0
CPOX	AARS	0.0
CPSF6	AARS	0.0
CS	AARS	0.0
CSE1L	AARS	0.0
CYFIP1	AARS	0.0
DAP3	AARS	0.0
DARS	AARS	0.0
