source	target
KATNB1	PFDN2
KATNB1	PFDN4
KATNB1	CCT2
KATNB1	CCT7
KATNA1	PFDN4
KATNA1	CCT2
KATNA1	CCT7
THOC3	TCP1
THOC3	CCT2
THOC3	CCT3
THOC3	CCT4
THOC3	CCT5
THOC3	CCT6A
THOC3	CCT6B
THOC3	CCT7
GNB2	PFDN1
GNB2	PFDN2
GNB2	VBP1
GNB2	PFDN4
GNB2	PFDN5
GNB2	PFDN6
GNB2	PDRG1
GNB2	TCP1
GNB2	CCT2
GNB2	CCT3
GNB2	CCT4
GNB2	CCT5
GNB2	CCT6A
GNB2	CCT6B
GNB2	CCT7
GNB2	CCT8
GNB2	PDRG1
TUBB2B	CCT2
TUBB2B	CCT3
TUBB2B	CCT6A
TUBB2B	CCT6B
TUBB2B	CCT7
VBP1	PDRG1
VBP1	PFDN1
VBP1	PFDN2
VBP1	PFDN4
VBP1	PFDN5
VBP1	PFDN6
VBP1	CCT2
VBP1	CCT3
VBP1	CCT7
VBP1	CCT8
PFDN5	PDRG1
PFDN5	URI1
PFDN5	VBP1
PFDN5	PFDN1
PFDN5	PFDN2
PFDN5	PFDN4
PFDN5	PFDN5
PFDN5	PFDN6
PFDN5	RPAP3
PFDN5	UXT
PFDN5	CCT3
PFDN5	CCT7
PFDN5	CCT8
PFDN6	POLR2E
PFDN6	VBP1
PFDN6	PFDN1
PFDN6	PFDN2
PFDN6	PFDN4
PFDN6	RPAP3
PFDN6	PFDN5
PFDN6	RPAP3
PFDN6	UXT
PFDN6	WDR92
PFDN6	PDRG1
PFDN6	PIH1D1
PFDN6	RUVBL2
PFDN4	PDRG1
PFDN4	VBP1
PFDN4	PFDN1
PFDN4	PFDN2
PFDN4	PFDN6
PFDN4	PFDN4
PFDN4	PFDN5
PFDN4	UXT
PFDN4	CCT3
PFDN4	CCT7
PFDN4	CCT8
MTFR1L	PFDN4
TUBB4B	RUVBL1
TUBB4B	PIH1D1
HDAC1	TCP1
HDAC1	CCT2
HDAC1	CCT3
HDAC1	CCT4
HDAC1	CCT5
HDAC1	CCT6A
HDAC1	CCT6B
HDAC1	CCT7
HDAC1	CCT8
HDAC1	VBP1
HDAC1	PFDN1
HDAC1	PFDN2
HDAC1	VBP1
HDAC1	PFDN4
HDAC1	PFDN5
HDAC1	PFDN6
HDAC1	RUVBL2
SEC16A	PIH1D1
SEC16A	WDR92
SEC16A	PFDN2
PDRG1	PIH1D1
PDRG1	URI1
PDRG1	UXT
PDRG1	RUVBL1
PDRG1	RUVBL2
PDRG1	POLR2E
PDRG1	VBP1
PDRG1	PFDN2
PDRG1	PFDN4
PDRG1	PFDN5
PDRG1	RPAP3
PDRG1	WDR92
PFDN2	UXT
PFDN2	URI1
PFDN2	PDRG1
PFDN2	POLR2E
PFDN2	VBP1
PFDN2	PFDN1
PFDN2	PFDN4
PFDN2	PFDN6
PFDN2	RPAP3
PFDN2	PFDN5
PFDN2	WDR92
PFDN2	PIH1D1
PFDN2	CCT3
PFDN2	CCT7
PFDN2	CCT8
PFDN2	RUVBL2
TCP1	CCT2
TCP1	CCT3
TCP1	CCT4
TCP1	CCT5
TCP1	CCT6A
TCP1	CCT6B
TCP1	CCT7
TCP1	CCT8
TCP1	PFDN2
TCP1	WDR92
CCT8	TCP1
CCT8	CCT2
CCT8	CCT3
CCT8	CCT4
CCT8	CCT5
CCT8	CCT6A
CCT8	CCT6B
CCT8	CCT7
CCT8	VBP1
CCT8	PFDN2
CCT8	PFDN5
CCT8	WDR92
CCT8	PFDN4
CCT8	PIH1D1
CCT7	TCP1
CCT7	CCT2
CCT7	CCT3
CCT7	CCT4
CCT7	CCT5
CCT7	CCT6A
CCT7	CCT6B
CCT7	CCT8
CCT7	WDR92
CCT7	PFDN2
CCT7	VBP1
CCT7	PFDN4
CCT7	PIH1D1
CCT6A	TCP1
CCT6A	CCT2
CCT6A	CCT3
CCT6A	CCT4
CCT6A	CCT5
CCT6A	CCT6B
CCT6A	CCT7
CCT6A	CCT8
CCT6A	WDR92
CCT6A	PFDN2
CCT6A	VBP1
CCT6A	PFDN5
CCT6A	PIH1D1
CCT5	TCP1
CCT5	CCT2
CCT5	CCT3
CCT5	CCT4
CCT5	CCT6A
CCT5	CCT6B
CCT5	CCT7
CCT5	CCT8
CCT5	RPAP3
CCT5	WDR92
CCT5	VBP1
CCT5	PFDN5
CCT5	PIH1D1
CCT4	TCP1
CCT4	CCT2
CCT4	CCT3
CCT4	CCT5
CCT4	CCT6A
CCT4	CCT6B
CCT4	CCT7
CCT4	CCT8
CCT4	WDR92
CCT4	PFDN2
CCT4	VBP1
CCT4	PFDN4
CCT4	PFDN5
CCT4	PIH1D1
CCT3	TCP1
CCT3	CCT2
CCT3	CCT4
CCT3	CCT5
CCT3	CCT6A
CCT3	CCT6B
CCT3	CCT7
CCT3	CCT8
CCT3	WDR92
CCT3	PFDN2
CCT3	VBP1
CCT3	PFDN4
CCT3	PFDN5
CCT3	PIH1D1
UXT	PIH1D1
UXT	URI1
UXT	PDRG1
UXT	RUVBL1
UXT	RUVBL2
UXT	PFDN2
UXT	PFDN4
UXT	PFDN6
UXT	RPAP3
UXT	PFDN5
UXT	WDR92
URI1	PIH1D1
URI1	PDRG1
URI1	RUVBL1
URI1	RUVBL2
URI1	RPAP3
URI1	UXT
URI1	WDR92
URI1	RUVBL1
URI1	PFDN2
URI1	PFDN6
PIH1D1	URI1
PIH1D1	PDRG1
PIH1D1	RUVBL1
PIH1D1	RUVBL2
PIH1D1	POLR2E
PIH1D1	RPAP3
PIH1D1	UXT
PIH1D1	WDR92
PIH1D1	PFDN6
PIH1D1	PFDN2
PIH1D1	TCP1
